戦略,CAGR,最大DD,12m平均,12m最悪,12m>=7%,12mプラス,年別最悪,年別>=7%,平均銘柄数,年間入替
【比較】市場平均(全株等ウェイト),0.18028652526253586,-0.34727846398507467,0.16871448214737292,-0.25688191787977466,0.7033016734509272,0.80958842152872,-0.1801429703091777,0.7,,
配当コア25 年1回,0.08997625175038282,-0.35959145341312204,0.10442545961854956,-0.28400801346237114,0.5494791666666666,0.6786458333333333,-0.12270553160294817,0.6666666666666666,21.0,17.11111111111111
配当コア25 半年,0.11989067528553177,-0.34207679503986943,0.13719608093406988,-0.2644262088330792,0.5729166666666666,0.728125,-0.12270553160294817,0.7777777777777778,20.944444444444443,30.555555555555557
配当コア15 年1回,0.10763042329295192,-0.33599110673380606,0.12685399586835872,-0.25883548903909714,0.5755208333333334,0.6984375,-0.12270553160294817,0.6666666666666666,13.222222222222221,10.88888888888889
配当コア40 年1回,0.09487185439573809,-0.3631719822667312,0.10700899817805161,-0.28801112987987376,0.5442708333333334,0.675,-0.12270553160294817,0.6666666666666666,24.444444444444443,19.77777777777778
利回りだけ上位25,0.13062408246138602,-0.32893354425341803,0.14517983982174548,-0.2782458725960981,0.6385416666666667,0.7541666666666667,-0.10736562777420078,0.7777777777777778,22.22222222222222,16.666666666666668
トレンド条件なし25,0.12521238637986998,-0.28892119859132204,0.1438454527447489,-0.2480505236163888,0.646875,0.75625,-0.09328939745207143,0.7777777777777778,22.22222222222222,14.88888888888889
減配歴チェックなし25,0.09899024509406207,-0.35963463364516446,0.11577535437369188,-0.28405628998879173,0.5567708333333333,0.6885416666666667,-0.12270553160294817,0.6666666666666666,21.0,17.77777777777778
