,市場平均(全株等ウェイト),1306 TOPIX,1321 日経225,1478 高配当MSCI,1577 高配当70,【比較】市場平均(全株等ウェイト),【比較】1306 TOPIX,【比較】1321 日経225,【比較】1478 高配当MSCI,【比較】1577 高配当70,入替あり 15銘柄,入替あり 20銘柄,入替あり 25銘柄,入替あり 20銘柄(減配ルールなし)
2016,,,,,,,,,,,,,,
2017,0.35895814299650675,0.22075986640672962,0.2124191602813459,0.19249386245464195,0.1776566138892448,0.35895814299650675,0.22075986640672962,0.2124191602813459,0.19249386245464195,0.1776566138892448,,,,
2018,-0.16896024725534553,-0.15837471950982196,-0.10707220825076547,-0.19543740354742223,-0.1557471166147083,-0.16896024725534553,-0.15837471950982196,-0.10707220825076547,-0.19543740354742223,-0.1557471166147083,-0.1192758468389492,-0.10717164447670524,-0.11984294251762895,-0.11234503453466949
2019,0.22732926517485286,0.17637709949244895,0.20813371799998293,0.1539894275807332,0.10176214633762504,0.22732926517485286,0.17637709949244895,0.20813371799998293,0.1539894275807332,0.10176214633762504,0.2398582920960659,0.1916811946422503,0.19237205303735916,0.1928146086436502
2020,0.03976897417856051,0.0734541204422483,0.1806356268813567,-0.010326627678679423,-0.11604111019743357,0.03976897417856051,0.0734541204422483,0.1806356268813567,-0.010326627678679423,-0.11604111019743357,0.09043916951828823,0.031596591538168184,0.05200809079251578,0.05783618600205398
2021,0.13168823660368778,0.12627755174951893,0.06375796745871898,0.16426945312959162,0.1980659462956993,0.13168823660368778,0.12627755174951893,0.06375796745871898,0.16426945312959162,0.1980659462956993,0.03231987500799094,0.046324375428492104,0.0713741316795562,0.05826086234004335
2022,0.04206076818121951,-0.025045881297474537,-0.0765082288371548,0.11634431588054817,0.128790515379005,0.04206076818121951,-0.025045881297474537,-0.0765082288371548,0.11634431588054817,0.128790515379005,0.1236097249391328,0.14633945614850807,0.11666249190929934,0.1438309890309739
2023,0.28205244591671996,0.28131177205500135,0.305855091760425,0.36841268046553144,0.3508900674543969,0.28205244591671996,0.28131177205500135,0.305855091760425,0.36841268046553144,0.3508900674543969,0.43141303193822567,0.4157972017517859,0.39379838662424294,0.4045144327830672
2024,0.18375864949626464,0.20221845178678222,0.21404440869387065,0.25965418145585084,0.2927584542701971,0.18375864949626464,0.20221845178678222,0.21404440869387065,0.25965418145585084,0.2927584542701971,0.1880668564928818,0.23763244305673914,0.24324305693314185,0.22865785347305323
2025,0.308449330529883,0.2553378663816859,0.2839208206639545,0.2311256205939889,0.32387113149256663,0.308449330529883,0.2553378663816859,0.2839208206639545,0.2311256205939889,0.32387113149256663,0.3860957391155726,0.4422706711990154,0.43488909200815895,0.41058060293683174
2026,0.25523628621148853,0.19634871632291961,0.32335642280878507,0.20208300375413923,0.2524364043679972,0.25523628621148853,0.19634871632291961,0.32335642280878507,0.20208300375413923,0.2524364043679972,0.24613380249526218,0.2074406229863235,0.215606209890834,0.22445541449837547
