,市場平均,配当コア25 年1回,配当コア25 半年,配当コア15 年1回,配当コア40 年1回,利回りだけ上位25,トレンド条件なし25,減配歴チェックなし25
2016,,,,,,,,
2017,0.4029691262855619,,,,,,,
2018,-0.1801429703091777,-0.12270553160294817,-0.12270553160294817,-0.12270553160294817,-0.12270553160294817,-0.1000736136435545,-0.09328939745207143,-0.12270553160294817
2019,0.24593818075367047,0.04649611890127314,0.07511694557383519,0.06128722218662852,0.051306437268054506,0.15738979696224797,0.10507842683443402,0.048659966931577925
2020,0.061623712043259005,-0.04804242723439134,-0.02884204867619844,-0.0010084885544896505,-0.05800716750318091,-0.10736562777420078,-0.045528012403228124,-0.05651624212116624
2021,0.13286185421184316,0.0726534196733788,0.1287785192138753,0.07336097915084894,0.07462679881918555,0.2606076117624416,0.14552163817521846,0.09694675473196046
2022,0.0247927375123147,0.10905502514946108,0.08980263567196256,0.14001030650890667,0.10925882507342322,0.13706280411036564,0.16011613979467731,0.11188628740976636
2023,0.28440447509420586,0.29703529650415716,0.43418437541115096,0.4031166090307814,0.3076880580612942,0.32395119956696705,0.3248552626106096,0.36017133035017124
2024,0.18247523020877643,0.11250865363065721,0.09507645982344393,0.13963541654266565,0.10719146845673411,0.1011354144512695,0.1318016580086223,0.13918725447626823
2025,0.3041032389446192,0.3050980336945286,0.3360010104604183,0.22331818702225759,0.3018713948789462,0.30614569620225907,0.36562855810938344,0.27600389036091033
2026,0.2547096786837246,0.09311859765695729,0.14982157972754861,0.10793764218544011,0.14067209311308315,0.16545100644214616,0.08922538173860906,0.09968672157631198
