,市場平均(全株等ウェイト),1306 TOPIX,1321 日経225,1478 高配当MSCI,1577 高配当70,n25 利2% 業種2 上昇のみ 12ヶ月,n25 利2% 業種2 上昇のみ 6ヶ月,n25 利2% 業種2 制限なし 12ヶ月,n25 利2% 業種2 制限なし 6ヶ月,n25 利2% 業種3 上昇のみ 12ヶ月,n25 利2% 業種3 上昇のみ 6ヶ月,n25 利2% 業種3 制限なし 12ヶ月,n25 利2% 業種3 制限なし 6ヶ月,n25 利3% 業種2 上昇のみ 12ヶ月,n25 利3% 業種2 上昇のみ 6ヶ月,n25 利3% 業種2 制限なし 12ヶ月,n25 利3% 業種2 制限なし 6ヶ月,n25 利3% 業種3 上昇のみ 12ヶ月,n25 利3% 業種3 上昇のみ 6ヶ月,n25 利3% 業種3 制限なし 12ヶ月,n25 利3% 業種3 制限なし 6ヶ月,n50 利2% 業種2 上昇のみ 12ヶ月,n50 利2% 業種2 上昇のみ 6ヶ月,n50 利2% 業種2 制限なし 12ヶ月,n50 利2% 業種2 制限なし 6ヶ月,n50 利2% 業種3 上昇のみ 12ヶ月,n50 利2% 業種3 上昇のみ 6ヶ月,n50 利2% 業種3 制限なし 12ヶ月,n50 利2% 業種3 制限なし 6ヶ月,n50 利3% 業種2 上昇のみ 12ヶ月,n50 利3% 業種2 上昇のみ 6ヶ月,n50 利3% 業種2 制限なし 12ヶ月,n50 利3% 業種2 制限なし 6ヶ月,n50 利3% 業種3 上昇のみ 12ヶ月,n50 利3% 業種3 上昇のみ 6ヶ月,n50 利3% 業種3 制限なし 12ヶ月,n50 利3% 業種3 制限なし 6ヶ月
2026-05-11,4.5320389513351795,3.611792271647909,4.396873349635554,3.755262468554045,3.978449442926241,2.51814562323549,3.1793616066294716,2.7723265339356145,2.89675579118598,2.5730495319166757,3.108859138312751,2.9257175787763376,3.164955330011069,2.535225958983582,3.1512655382508292,2.923791906805475,3.013532099736928,2.8318070364669574,3.1913389771013203,2.8942708287570698,3.0614482284968507,2.3893326971581295,2.8554422136255155,2.7474647055165278,2.8801203576091963,2.573567956553668,2.928782627976176,2.75977767743534,3.0737245485028404,2.6055181634938025,2.8141237889180295,2.893554471392151,2.9375996302577536,2.702070476678723,2.78315700582779,3.0831354945812217,3.1973332408129767
2026-05-12,4.527994104531556,3.6401825171947073,4.411670842934006,3.7947435943859924,4.043461670862865,2.536467710369657,3.2138023398123163,2.7895730790468014,2.8996607358014845,2.592593377168087,3.142536146886553,2.947940148104937,3.168129232337321,2.542522105023545,3.1820635015722267,2.94151725850213,3.006297961600994,2.840114600937785,3.2225285863455695,2.911817210298682,3.054099065239923,2.389646714011449,2.878541099202225,2.749658529345459,2.886862051449388,2.5755371032663703,2.954482424495181,2.7623039665865288,3.0790480622094267,2.609875664598209,2.8379553401222877,2.9001864922833245,2.943383030381418,2.706674250163541,2.805777631030042,3.095704955118184,3.204890997224532
2026-05-13,4.56563897806264,3.6880915472929816,4.4527002561706235,3.841817244416391,4.090539491092833,2.5383145635790485,3.232156097004563,2.792652530634613,2.935880837351973,2.5928492842774054,3.1604829087932553,2.9482311304272666,3.2077028145511073,2.551074032298072,3.210984237865297,2.9637330373525654,3.028775764636102,2.855578272212863,3.2518170965831974,2.9338086798404337,3.0769342725663495,2.398854304274893,2.9017154438499286,2.7670168170208695,2.9010543111787865,2.585608865043392,2.975200695875238,2.778328087493622,3.0933813885854735,2.6141685592573447,2.855318511404125,2.9131721317564407,2.959966627186959,2.7180598823099134,2.8226303154737638,3.1078901386110576,3.220345817595477
2026-05-14,4.552412120807043,3.6481675360457726,4.413016069597502,3.849409768614842,4.068868748447292,2.526963225062472,3.1931142309686775,2.779296800007767,2.92381125264777,2.576082683127944,3.1223067976678784,2.9291664606217194,3.194515753164428,2.549334709205973,3.183920357548617,2.956723345278752,3.0236148592208623,2.845756855476526,3.224409055249376,2.9268697635514243,3.071691307096592,2.3944814877868374,2.885611389763677,2.757798576847549,2.883008243399632,2.574307641241703,2.940993938851971,2.7629322608529043,3.0746837367075988,2.6050385405295473,2.8390236182583193,2.9125253897094674,2.941523954347097,2.70649785682892,2.803274093432392,3.0972586071690893,3.2046238054410545
2026-05-15,4.557936399098768,3.6366337703453606,4.323558496475041,3.8911686517063244,4.102495762897269,2.5349049462853452,3.2402260682393025,2.7667564645541907,2.9433436284978867,2.5641868075792034,3.1683739280993723,2.915640109194679,3.2158565569845865,2.543375583654421,3.2081735871520896,2.9508055131999424,3.043774112938902,2.8378732068889585,3.2489707038996234,2.921011682914661,3.0921710994267615,2.4048581009660297,2.908719049601716,2.7733973524636077,2.914211991058004,2.5882296430383973,2.9669053344069276,2.78036896954607,3.105861051322171,2.612320509749227,2.858903017126471,2.9057387676254236,2.96187440776311,2.70407151607983,2.825566898978689,3.0954483245074784,3.2205731940916755
2026-05-18,4.509346536427633,3.601145760347842,4.287237376560658,3.8251136911797974,4.043461670862864,2.5019269574998213,3.1950822356419764,2.729279855424119,2.9074580444334006,2.527447341548314,3.1242311617603646,2.87386504801995,3.176648463951326,2.506452137517925,3.1666096095054534,2.9128348534209634,3.000682618646649,2.7984556308264237,3.206878173042733,2.883424407058551,3.0483944365281594,2.3719129724713137,2.8659323383863082,2.7281059744222014,2.8712672355167888,2.556673819564415,2.918701383794794,2.7458732854302306,3.0603159711581394,2.564464097329509,2.821502598795468,2.854606191477983,2.919637534331061,2.6572936038288697,2.7899727185278924,3.05218819604943,3.1787596727628427
2026-05-19,4.550854376270896,3.6224385121959477,4.269076816603467,3.8645948170117443,4.09950669494616,2.5079411937446197,3.199242524651524,2.7429987524712516,2.929909369889035,2.5422540799504016,3.128299196197965,2.8907012318127503,3.2011784717562057,2.5178555452544864,3.1736102087373577,2.9268795603168223,3.023015237075637,2.812325586059518,3.213967796218139,2.8973273067049017,3.071082150766574,2.3904595727228326,2.881054709221536,2.7546244495220917,2.8933356878318572,2.5805561890210607,2.930441315595325,2.7720238216947872,3.0836849622973914,2.584903613077706,2.830100861115105,2.8824781903901884,2.944784309989328,2.6842743184495155,2.797613264991847,3.080964606621484,3.2081983433679504
2026-05-20,4.475402910089769,3.5683195135513546,4.21863081672238,3.8114471476225846,4.061396078569519,2.4613419531178256,3.138981378890888,2.693728490281687,2.8781729486427308,2.493925808124207,3.0693743437079215,2.8357489766463084,3.1446519731547657,2.4703151536134507,3.1169953390491494,2.8732666884797267,2.9702101301760715,2.757618225438992,3.1566329768808328,2.8442557558045727,3.017437425698813,2.3602095477263356,2.8368351447057805,2.7187816532998337,2.8470043886375707,2.547836214834157,2.885624734748433,2.736353968484943,3.035468934312015,2.5502752441332235,2.78417955561184,2.8414811348028577,2.89607876032381,2.6483246312673927,2.7550420142094882,3.036861741747898,3.155448069226519
2026-05-21,4.5216635899751445,3.6268745134456375,4.340373829768737,3.8251136911797974,4.0651324135084055,2.4809618135441935,3.165874341204331,2.7096767021171786,2.893452019092297,2.5109611340532996,3.095670953527363,2.8551192032636727,3.1613456742959207,2.489253731032867,3.1472578044716775,2.8922823380566363,2.9913253150075465,2.7761480252790176,3.1872802785041996,2.863079407286818,3.0388883487543015,2.3810275484152124,2.8589089140686204,2.739967991725395,2.8664724657281164,2.571460605246879,2.9081327194528717,2.7586069553149613,3.0558477061131297,2.5701424070106067,2.8068969824715535,2.857122668656804,2.9119343581169224,2.6701196574584194,2.7782114662048443,3.0524068682786174,3.174500769287413
2026-05-22,4.5600843927638754,3.6588137765938105,4.453372869502372,3.794743594385992,4.051681607728415,2.4754115185577827,3.172720757032603,2.701236971676369,2.881772498576249,2.5041379947779094,3.102365549816137,2.847360868932045,3.1485847916486103,2.4806400960928725,3.1513496529940643,2.880811487723309,2.9901282436220398,2.7677245556339383,3.1914241614995804,2.8517243763684026,3.037672243549096,2.374225254877476,2.854929883961402,2.729822799916278,2.8660736037534496,2.5630612606454086,2.9043490231747784,2.7490063973963785,3.056887346634041,2.5638104702599698,2.8004837616610727,2.8484321331427798,2.91078597297008,2.661029543990506,2.7702038171684187,3.0448149851780553,3.170868968857208
