,市場平均(全株等ウェイト),1306 TOPIX,1321 日経225,1478 高配当MSCI,1577 高配当70,【比較】市場平均(全株等ウェイト),【比較】1306 TOPIX,【比較】1321 日経225,【比較】1478 高配当MSCI,【比較】1577 高配当70,入替あり 15銘柄,入替あり 20銘柄,入替あり 25銘柄,入替あり 20銘柄(減配ルールなし)
2016-08-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2016-09-01,1.0042030129108122,1.0059259485315393,1.0023282887077998,1.00231884057971,1.0041088854648177,1.0042030129108122,1.0059259485315393,1.0023282887077998,1.00231884057971,1.0041088854648177,,,,
2016-09-02,1.0042146084045191,1.0088888662832756,1.0023282887077998,1.0028985507246377,1.0082177709296354,1.0042146084045191,1.0088888662832756,1.0023282887077998,1.0028985507246377,1.0082177709296354,,,,
2016-09-05,1.0081528752612234,1.0125925699869793,1.0081490104772992,1.0098550724637683,1.0118130457113508,1.0081528752612234,1.0125925699869793,1.0081490104772992,1.0098550724637683,1.0118130457113508,,,,
2016-09-06,1.019210735608044,1.0185185185185186,1.011059371362049,1.012753623188406,1.014894709809964,1.019210735608044,1.0185185185185186,1.011059371362049,1.012753623188406,1.014894709809964,,,,
2016-09-07,1.021841272816898,1.0155556007667825,1.0081490104772992,0.9953623188405799,1.0133538777606574,1.021841272816898,1.0155556007667825,1.0081490104772992,0.9953623188405799,1.0133538777606574,,,,
2016-09-08,1.0206859144962133,1.0133333559389468,1.0052386495925494,1.0023188405797103,1.0066769388803287,1.0206859144962133,1.0133333559389468,1.0052386495925494,1.0023188405797103,1.0066769388803287,,,,
2016-09-09,1.0201813636812818,1.0118518970630788,1.0058207217694992,1.0017391304347827,1.0133538777606574,1.0201813636812818,1.0118518970630788,1.0058207217694992,1.0017391304347827,1.0133538777606574,,,,
2016-09-12,1.00633578674492,0.9940740514684607,0.9871944121071011,0.9895652173913044,1.0005136106831023,1.00633578674492,0.9940740514684607,0.9871944121071011,0.9895652173913044,1.0005136106831023,,,,
2016-09-13,1.0085032065036614,0.9970370822482639,0.9906868451688009,0.9918840579710145,1.002054442732409,1.0085032065036614,0.9970370822482639,0.9906868451688009,0.9918840579710145,1.002054442732409,,,,
2016-09-14,1.0019249706646516,0.9881481029369213,0.9842840512223515,0.9849275362318841,0.9964047252182847,1.0019249706646516,0.9881481029369213,0.9842840512223515,0.9849275362318841,0.9964047252182847,,,,
2016-09-15,0.9935746462067133,0.9800000226056135,0.9720605355064027,0.9727536231884059,0.9881869542886494,0.9935746462067133,0.9800000226056135,0.9720605355064027,0.9727536231884059,0.9881869542886494,,,,
2016-09-16,1.0034114787841912,0.988888888888889,0.979045401629802,0.9820289855072464,0.9892141756548538,1.0034114787841912,0.988888888888889,0.979045401629802,0.9820289855072464,0.9892141756548538,,,,
2016-09-20,1.005574729274409,0.9911111337167248,0.9761350407450523,0.9808695652173913,0.9974319465844891,1.005574729274409,0.9911111337167248,0.9761350407450523,0.9808695652173913,0.9974319465844891,,,,
2016-09-21,1.0278514624451884,1.0185185185185188,0.9959254947613503,0.9994202898550725,1.0205444273240885,1.0278514624451884,1.0185185185185188,0.9959254947613503,0.9994202898550725,1.0205444273240885,,,,
2016-09-23,1.034546704007772,1.016296273690683,0.9918509895227007,1.0005797101449276,1.0184899845916797,1.034546704007772,1.016296273690683,0.9918509895227007,1.0005797101449276,1.0184899845916797,,,,
2016-09-26,1.0268597714892531,1.005185162579572,0.978463329452852,0.9913043478260871,1.00924499229584,1.0268597714892531,1.005185162579572,0.978463329452852,0.9913043478260871,1.00924499229584,,,,
2016-09-27,1.0384743603369593,1.0155556007667828,0.9871944121071011,0.9802898550724639,1.0154083204930666,1.0384743603369593,1.0155556007667828,0.9871944121071011,0.9802898550724639,1.0154083204930666,,,,
2016-09-28,1.0340677266238105,1.0096296522352435,0.9813736903376017,0.9843478260869567,1.0092449922958402,1.0340677266238105,1.0096296522352435,0.9813736903376017,0.9843478260869567,1.0092449922958402,,,,
2016-09-29,1.0429929627257684,1.0214814362702551,0.9953434225844002,0.9924637681159423,1.0231124807395997,1.0429929627257684,1.0214814362702551,0.9953434225844002,0.9924637681159423,1.0231124807395997,,,,
2016-09-30,1.029959084035848,1.0022222448278362,0.9813736903376016,0.9918840579710148,1.011813045711351,1.029959084035848,1.0022222448278362,0.9813736903376016,0.9918840579710148,1.011813045711351,,,,
2016-10-03,1.037537312984586,1.008888866283276,0.9895227008149008,0.9930434782608699,1.0133538777606577,1.037537312984586,1.008888866283276,0.9895227008149008,0.9930434782608699,1.0133538777606577,,,,
2016-10-04,1.044951110406943,1.0162962736906833,0.9959254947613503,0.9994202898550728,1.0200308166409864,1.044951110406943,1.0162962736906833,0.9959254947613503,0.9994202898550728,1.0200308166409864,,,,
2016-10-05,1.0509774203711513,1.0229630081741903,1.0034924330616997,0.9976811594202901,1.011813045711351,1.0509774203711513,1.0229630081741903,1.0034924330616997,0.9976811594202901,1.011813045711351,,,,
2016-10-06,1.0545989878702697,1.0274073848017944,1.0075669383003492,1.013913043478261,1.0128402670775556,1.0545989878702697,1.0274073848017944,1.0075669383003492,1.013913043478261,1.0128402670775556,,,,
2016-10-07,1.051707306068012,1.0244444670500583,1.0058207217694994,1.0156521739130435,1.0274781715459684,1.051707306068012,1.0244444670500583,1.0058207217694994,1.0156521739130435,1.0274781715459684,,,,
2016-10-11,1.0557087261788418,1.0288888436776624,1.0151338766006985,1.0202898550724637,1.034227649176134,1.0557087261788418,1.0288888436776624,1.0151338766006985,1.0202898550724637,1.034227649176134,,,,
2016-10-12,1.046937379113795,1.0192593044704865,1.0052386495925494,1.0144927536231882,1.0238438374374177,1.046937379113795,1.0192593044704865,1.0052386495925494,1.0144927536231882,1.0238438374374177,,,,
2016-10-13,1.049519349776165,1.0177777325665514,0.9999999999999999,1.0150724637681159,1.0217670750896746,1.049519349776165,1.0177777325665514,0.9999999999999999,1.0150724637681159,1.0217670750896746,,,,
2016-10-14,1.0520310101064585,1.021481436270255,1.006402793946449,1.0179710144927536,1.0222862656766103,1.0520310101064585,1.021481436270255,1.006402793946449,1.0179710144927536,1.0222862656766103,,,,
2016-10-17,1.0576716450879633,1.0266667118778936,1.0087310826542488,1.0208695652173914,1.0290357433067758,1.0576716450879633,1.0266667118778936,1.0087310826542488,1.0208695652173914,1.0290357433067758,,,,
2016-10-18,1.0638532217827494,1.0288888436776622,1.0116414435389984,1.024927536231884,1.0305933150675832,1.0638532217827494,1.0288888436776622,1.0116414435389984,1.024927536231884,1.0305933150675832,,,,
2016-10-19,1.0685955179556799,1.0311110885054977,1.0133876600698484,1.0226086956521738,1.036304411523877,1.0685955179556799,1.0311110885054977,1.0133876600698484,1.0226086956521738,1.036304411523877,,,,
2016-10-20,1.0766756017447503,1.039999954788773,1.026775320139697,1.0202898550724637,1.0373427926977488,1.0766756017447503,1.039999954788773,1.026775320139697,1.0202898550724637,1.0373427926977488,,,,
