,市場平均,配当コア25 年1回,配当コア25 半年,配当コア15 年1回,配当コア40 年1回,利回りだけ上位25,トレンド条件なし25,減配歴チェックなし25
2016-08-31,1.0,,,,,,,
2016-09-01,1.003117535363438,,,,,,,
2016-09-02,1.0022234767265121,,,,,,,
2016-09-05,1.0062684519096625,,,,,,,
2016-09-06,1.017994798010686,,,,,,,
2016-09-07,1.0208626692763123,,,,,,,
2016-09-08,1.0200074639043155,,,,,,,
2016-09-09,1.0198514184910303,,,,,,,
2016-09-12,1.0058844080373937,,,,,,,
2016-09-13,1.0094814408804877,,,,,,,
2016-09-14,1.0025426127098822,,,,,,,
2016-09-15,0.99505141060106,,,,,,,
2016-09-16,1.0036407889317986,,,,,,,
2016-09-20,1.0057811023796568,,,,,,,
2016-09-21,1.0255448597092056,,,,,,,
2016-09-23,1.0337057561702803,,,,,,,
2016-09-26,1.0269873398026932,,,,,,,
2016-09-27,1.039130988472501,,,,,,,
2016-09-28,1.0368607205804068,,,,,,,
2016-09-29,1.0461595087589117,,,,,,,
2016-09-30,1.0345565981316938,,,,,,,
2016-10-03,1.0425830749022291,,,,,,,
2016-10-04,1.0505700245725158,,,,,,,
2016-10-05,1.0570971671449467,,,,,,,
2016-10-06,1.0605462504960015,,,,,,,
2016-10-07,1.058013258484875,,,,,,,
2016-10-11,1.0625604210378343,,,,,,,
2016-10-12,1.0540182473694861,,,,,,,
2016-10-13,1.0573109913564933,,,,,,,
2016-10-14,1.059186563780077,,,,,,,
2016-10-17,1.0655772497556846,,,,,,,
2016-10-18,1.0723436984108348,,,,,,,
2016-10-19,1.077314486312872,,,,,,,
2016-10-20,1.0842181693605084,,,,,,,
2016-10-21,1.081782126843914,,,,,,,
2016-10-24,1.084913067142982,,,,,,,
2016-10-25,1.0890020331988046,,,,,,,
2016-10-26,1.094201752205292,,,,,,,
2016-10-27,1.0934391475979168,,,,,,,
2016-10-28,1.1007620813581085,,,,,,,
2016-10-31,1.1007835381819362,,,,,,,
2016-11-01,1.0995434102256902,,,,,,,
2016-11-02,1.0796900257692101,,,,,,,
2016-11-04,1.0708537879585198,,,,,,,
2016-11-07,1.0831129390959697,,,,,,,
2016-11-08,1.0809703220531115,,,,,,,
2016-11-09,1.0333044257535278,,,,,,,
2016-11-10,1.0850102485909456,,,,,,,
2016-11-11,1.078253697057883,,,,,,,
2016-11-14,1.095820666646722,,,,,,,
2016-11-15,1.094932664426092,,,,,,,
2016-11-16,1.1076868240377127,,,,,,,
2016-11-17,1.110956474373052,,,,,,,
2016-11-18,1.1204789038225011,,,,,,,
2016-11-21,1.129048331141814,,,,,,,
2016-11-22,1.1340986471399432,,,,,,,
2016-11-24,1.1395124347268515,,,,,,,
2016-11-25,1.1409312786786125,,,,,,,
2016-11-28,1.147310104801849,,,,,,,
2016-11-29,1.1463920127201976,,,,,,,
2016-11-30,1.1497233390523425,,,,,,,
2016-12-01,1.155584023805977,,,,,,,
2016-12-02,1.148860504656756,,,,,,,
