,指標,IC,t値,月数,平均銘柄数,最下位20,最上位20,上下差
0,割安さ(BPS/株価=PBR逆数),22.29,9.38918275224188,30,674,14.31,31.94,17.63
1,割安さ(益回り=PER逆数),18.56,10.465936561732654,30,673,20.0,32.95,12.95
6,【対照】配当利回り,11.7,6.79068946731218,106,856,11.61,15.62,4.01
7,【対照】12ヶ月モメンタム,-1.09,-0.8143117130185924,96,858,13.85,15.47,1.63
5,配当性向の低さ,-6.16,-6.808024991206551,30,647,21.04,24.28,3.24
2,ROE,-6.16,-4.1627342708329715,30,672,27.56,19.8,-7.76
3,自己資本比率,-7.73,-10.463589610958547,30,674,29.33,14.94,-14.39
4,営業利益率,-8.56,-7.629849020898334,30,662,28.42,14.93,-13.49
